dex,name,form,shadow,pvpoke_name,evo_ids,search_string
32,Nidoran♂,Normal,True,Nidoran Male (Shadow),[32],32&shadow
33,Nidorino,Normal,False,Nidorino,"[32, 33]","32,33&!shadow"
33,Nidorino,Normal,True,Nidorino (Shadow),"[32, 33]","32,33&shadow"
34,Nidoking,Normal,False,Nidoking,"[32, 33, 34]","32,33,34&!shadow"
34,Nidoking,Normal,True,Nidoking (Shadow),"[32, 33, 34]","32,33,34&shadow"
35,Clefairy,Normal,False,Clefairy,"[35, 173]","35,173&!shadow"
35,Clefairy,Normal,True,Clefairy (Shadow),"[35, 173]","35,173&shadow"
36,Clefable,Normal,False,Clefable,"[35, 36, 173]","35,36,173&!shadow"
36,Clefable,Normal,True,Clefable (Shadow),"[35, 36, 173]","35,36,173&shadow"
37,Vulpix,Alola,False,Vulpix (Alolan),[37],37&alola&!shadow
37,Vulpix,Alola,True,Vulpix (Alolan) (Shadow),[37],37&alola&shadow
37,Vulpix,Normal,False,Vulpix,[37],37&!alola&!shadow
37,Vulpix,Normal,True,Vulpix (Shadow),[37],37&!alola&shadow
38,Ninetales,Alola,False,Ninetales (Alolan),"[37, 38]","37,38&alola&!shadow"
38,Ninetales,Alola,True,Ninetales (Alolan) (Shadow),"[37, 38]","37,38&alola&shadow"
38,Ninetales,Normal,False,Ninetales,"[37, 38]","37,38&!alola&!shadow"
38,Ninetales,Normal,True,Ninetales (Shadow),"[37, 38]","37,38&!alola&shadow"
39,Jigglypuff,Normal,False,Jigglypuff,"[39, 174]","39,174&!shadow"
39,Jigglypuff,Normal,True,Jigglypuff (Shadow),"[39, 174]","39,174&shadow"
40,Wigglytuff,Normal,False,Wigglytuff,"[39, 40, 174]","39,40,174&!shadow"
40,Wigglytuff,Normal,True,Wigglytuff (Shadow),"[39, 40, 174]","39,40,174&shadow"
41,Zubat,Normal,False,Zubat,[41],41&!shadow
41,Zubat,Normal,True,Zubat (Shadow),[41],41&shadow
42,Golbat,Normal,False,Golbat,"[41, 42]","41,42&!shadow"
42,Golbat,Normal,True,Golbat (Shadow),"[41, 42]","41,42&shadow"
43,Oddish,Normal,False,Oddish,[43],43&!shadow
43,Oddish,Normal,True,Oddish (Shadow),[43],43&shadow
44,Gloom,Normal,False,Gloom,"[43, 44]","43,44&!shadow"
44,Gloom,Normal,True,Gloom (Shadow),"[43, 44]","43,44&shadow"
45,Vileplume,Normal,False,Vileplume,"[43, 44, 45]","43,44,45&!shadow"
45,Vileplume,Normal,True,Vileplume (Shadow),"[43, 44, 45]","43,44,45&shadow"
46,Paras,Normal,False,Paras,[46],46&!shadow
46,Paras,Normal,True,Paras (Shadow),[46],46&shadow
47,Parasect,Normal,False,Parasect,"[46, 47]","46,47&!shadow"
47,Parasect,Normal,True,Parasect (Shadow),"[46, 47]","46,47&shadow"
48,Venonat,Normal,False,Venonat,[48],48&!shadow
48,Venonat,Normal,True,Venonat (Shadow),[48],48&shadow
49,Venomoth,Normal,False,Venomoth,"[48, 49]","48,49&!shadow"
49,Venomoth,Normal,True,Venomoth (Shadow),"[48, 49]","48,49&shadow"
50,Diglett,Alola,False,Diglett (Alolan),[50],50&alola&!shadow
50,Diglett,Alola,True,Diglett (Alolan) (Shadow),[50],50&alola&shadow
50,Diglett,Normal,False,Diglett,[50],50&!alola&!shadow
50,Diglett,Normal,True,Diglett (Shadow),[50],50&!alola&shadow
51,Dugtrio,Alola,False,Dugtrio (Alolan),"[50, 51]","50,51&alola&!shadow"
51,Dugtrio,Alola,True,Dugtrio (Alolan) (Shadow),"[50, 51]","50,51&alola&shadow"
51,Dugtrio,Normal,False,Dugtrio,"[50, 51]","50,51&!alola&!shadow"
51,Dugtrio,Normal,True,Dugtrio (Shadow),"[50, 51]","50,51&!alola&shadow"
52,Meowth,Alola,False,Meowth (Alolan),[52],52&alola&!shadow
52,Meowth,Alola,True,Meowth (Alolan) (Shadow),[52],52&alola&shadow
52,Meowth,Galarian,False,Meowth (Galarian),[52],52&galar&!shadow
52,Meowth,Galarian,True,Meowth (Galarian) (Shadow),[52],52&galar&shadow
52,Meowth,Normal,False,Meowth,[52],52&!galar&!alola&!shadow
52,Meowth,Normal,True,Meowth (Shadow),[52],52&!galar&!alola&shadow
53,Persian,Alola,False,Persian (Alolan),"[52, 53]","52,53&alola&!shadow"
53,Persian,Alola,True,Persian (Alolan) (Shadow),"[52, 53]","52,53&alola&shadow"
53,Persian,Normal,False,Persian,"[52, 53]","52,53&!alola&!shadow"
53,Persian,Normal,True,Persian (Shadow),"[52, 53]","52,53&!alola&shadow"
54,Psyduck,Normal,False,Psyduck,[54],54&!shadow
54,Psyduck,Normal,True,Psyduck (Shadow),[54],54&shadow
55,Golduck,Normal,False,Golduck,"[54, 55]","54,55&!shadow"
55,Golduck,Normal,True,Golduck (Shadow),"[54, 55]","54,55&shadow"
56,Mankey,Normal,False,Mankey,[56],56&!shadow
56,Mankey,Normal,True,Mankey (Shadow),[56],56&shadow
57,Primeape,Normal,False,Primeape,"[56, 57]","56,57&!shadow"
57,Primeape,Normal,True,Primeape (Shadow),"[56, 57]","56,57&shadow"
58,Growlithe,Hisuian,False,Growlithe (Hisuian),[58],58&hisui&!shadow
58,Growlithe,Hisuian,True,Growlithe (Hisuian) (Shadow),[58],58&hisui&shadow
58,Growlithe,Normal,False,Growlithe,[58],58&!hisui&!shadow
58,Growlithe,Normal,True,Growlithe (Shadow),[58],58&!hisui&shadow
59,Arcanine,Hisuian,False,Arcanine (Hisuian),"[58, 59]","58,59&hisui&!shadow"
59,Arcanine,Hisuian,True,Arcanine (Hisuian) (Shadow),"[58, 59]","58,59&hisui&shadow"
59,Arcanine,Normal,False,Arcanine,"[58, 59]","58,59&!hisui&!shadow"
59,Arcanine,Normal,True,Arcanine (Shadow),"[58, 59]","58,59&!hisui&shadow"
60,Poliwag,Normal,False,Poliwag,[60],60&!shadow
60,Poliwag,Normal,True,Poliwag (Shadow),[60],60&shadow
61,Poliwhirl,Normal,False,Poliwhirl,"[60, 61]","60,61&!shadow"
61,Poliwhirl,Normal,True,Poliwhirl (Shadow),"[60, 61]","60,61&shadow"
62,Poliwrath,Normal,False,Poliwrath,"[60, 61, 62]","60,61,62&!shadow"
62,Poliwrath,Normal,True,Poliwrath (Shadow),"[60, 61, 62]","60,61,62&shadow"
63,Abra,Normal,False,Abra,[63],63&!shadow
63,Abra,Normal,True,Abra (Shadow),[63],63&shadow
64,Kadabra,Normal,False,Kadabra,"[63, 64]","63,64&!shadow"
64,Kadabra,Normal,True,Kadabra (Shadow),"[63, 64]","63,64&shadow"
65,Alakazam,Normal,False,Alakazam,"[63, 64, 65]","63,64,65&!shadow"
65,Alakazam,Normal,True,Alakazam (Shadow),"[63, 64, 65]","63,64,65&shadow"
66,Machop,Normal,False,Machop,[66],66&!shadow
66,Machop,Normal,True,Machop (Shadow),[66],66&shadow
67,Machoke,Normal,False,Machoke,"[66, 67]","66,67&!shadow"
67,Machoke,Normal,True,Machoke (Shadow),"[66, 67]","66,67&shadow"
68,Machamp,Normal,False,Machamp,"[66, 67, 68]","66,67,68&!shadow"
68,Machamp,Normal,True,Machamp (Shadow),"[66, 67, 68]","66,67,68&shadow"
69,Bellsprout,Normal,False,Bellsprout,[69],69&!shadow
69,Bellsprout,Normal,True,Bellsprout (Shadow),[69],69&shadow
70,Weepinbell,Normal,False,Weepinbell,"[69, 70]","69,70&!shadow"
70,Weepinbell,Normal,True,Weepinbell (Shadow),"[69, 70]","69,70&shadow"
71,Victreebel,Normal,False,Victreebel,"[69, 70, 71]","69,70,71&!shadow"
71,Victreebel,Normal,True,Victreebel (Shadow),"[69, 70, 71]","69,70,71&shadow"
72,Tentacool,Normal,False,Tentacool,[72],72&!shadow
72,Tentacool,Normal,True,Tentacool (Shadow),[72],72&shadow
73,Tentacruel,Normal,False,Tentacruel,"[72, 73]","72,73&!shadow"
73,Tentacruel,Normal,True,Tentacruel (Shadow),"[72, 73]","72,73&shadow"
74,Geodude,Alola,False,Geodude (Alolan),[74],74&alola&!shadow
74,Geodude,Alola,True,Geodude (Alolan) (Shadow),[74],74&alola&shadow
74,Geodude,Normal,False,Geodude,[74],74&!alola&!shadow
74,Geodude,Normal,True,Geodude (Shadow),[74],74&!alola&shadow
75,Graveler,Alola,False,Graveler (Alolan),"[74, 75]","74,75&alola&!shadow"
75,Graveler,Alola,True,Graveler (Alolan) (Shadow),"[74, 75]","74,75&alola&shadow"
75,Graveler,Normal,False,Graveler,"[74, 75]","74,75&!alola&!shadow"
75,Graveler,Normal,True,Graveler (Shadow),"[74, 75]","74,75&!alola&shadow"
76,Golem,Alola,False,Golem (Alolan),"[74, 75, 76]","74,75,76&alola&!shadow"
76,Golem,Alola,True,Golem (Alolan) (Shadow),"[74, 75, 76]","74,75,76&alola&shadow"
76,Golem,Normal,False,Golem,"[74, 75, 76]","74,75,76&!alola&!shadow"
76,Golem,Normal,True,Golem (Shadow),"[74, 75, 76]","74,75,76&!alola&shadow"
77,Ponyta,Galarian,False,Ponyta (Galarian),[77],77&galar&!shadow
77,Ponyta,Galarian,True,Ponyta (Galarian) (Shadow),[77],77&galar&shadow
77,Ponyta,Normal,False,Ponyta,[77],77&!galar&!shadow
77,Ponyta,Normal,True,Ponyta (Shadow),[77],77&!galar&shadow
78,Rapidash,Galarian,False,Rapidash (Galarian),"[77, 78]","77,78&galar&!shadow"
78,Rapidash,Galarian,True,Rapidash (Galarian) (Shadow),"[77, 78]","77,78&galar&shadow"
78,Rapidash,Normal,False,Rapidash,"[77, 78]","77,78&!galar&!shadow"
78,Rapidash,Normal,True,Rapidash (Shadow),"[77, 78]","77,78&!galar&shadow"
79,Slowpoke,Galarian,False,Slowpoke (Galarian),[79],79&galar&!shadow
79,Slowpoke,Galarian,True,Slowpoke (Galarian) (Shadow),[79],79&galar&shadow
79,Slowpoke,Normal,False,Slowpoke,[79],79&!galar&!shadow
79,Slowpoke,Normal,True,Slowpoke (Shadow),[79],79&!galar&shadow
80,Slowbro,Galarian,False,Slowbro (Galarian),"[79, 80]","79,80&galar&!shadow"
80,Slowbro,Galarian,True,Slowbro (Galarian) (Shadow),"[79, 80]","79,80&galar&shadow"
80,Slowbro,Normal,False,Slowbro,"[79, 80]","79,80&!galar&!shadow"
80,Slowbro,Normal,True,Slowbro (Shadow),"[79, 80]","79,80&!galar&shadow"
81,Magnemite,Normal,False,Magnemite,[81],81&!shadow
81,Magnemite,Normal,True,Magnemite (Shadow),[81],81&shadow
82,Magneton,Normal,False,Magneton,"[81, 82]","81,82&!shadow"
82,Magneton,Normal,True,Magneton (Shadow),"[81, 82]","81,82&shadow"
83,Farfetch'd,Galarian,False,Farfetch'd (Galarian),[83],83&galar&!shadow
83,Farfetch'd,Galarian,True,Farfetch'd (Galarian) (Shadow),[83],83&galar&shadow
83,Farfetch'd,Normal,False,Farfetch'd,[83],83&!galar&!shadow
83,Farfetch'd,Normal,True,Farfetch'd (Shadow),[83],83&!galar&shadow
84,Doduo,Normal,False,Doduo,[84],84&!shadow
84,Doduo,Normal,True,Doduo (Shadow),[84],84&shadow
85,Dodrio,Normal,False,Dodrio,"[84, 85]","84,85&!shadow"
85,Dodrio,Normal,True,Dodrio (Shadow),"[84, 85]","84,85&shadow"
86,Seel,Normal,False,Seel,[86],86&!shadow
86,Seel,Normal,True,Seel (Shadow),[86],86&shadow
87,Dewgong,Normal,False,Dewgong,"[86, 87]","86,87&!shadow"
87,Dewgong,Normal,True,Dewgong (Shadow),"[86, 87]","86,87&shadow"
88,Grimer,Alola,False,Grimer (Alolan),[88],88&alola&!shadow
88,Grimer,Alola,True,Grimer (Alolan) (Shadow),[88],88&alola&shadow
88,Grimer,Normal,False,Grimer,[88],88&!alola&!shadow
88,Grimer,Normal,True,Grimer (Shadow),[88],88&!alola&shadow
89,Muk,Alola,False,Muk (Alolan),"[88, 89]","88,89&alola&!shadow"
89,Muk,Alola,True,Muk (Alolan) (Shadow),"[88, 89]","88,89&alola&shadow"
89,Muk,Normal,False,Muk,"[88, 89]","88,89&!alola&!shadow"
89,Muk,Normal,True,Muk (Shadow),"[88, 89]","88,89&!alola&shadow"
90,Shellder,Normal,False,Shellder,[90],90&!shadow
90,Shellder,Normal,True,Shellder (Shadow),[90],90&shadow
91,Cloyster,Normal,False,Cloyster,"[90, 91]","90,91&!shadow"
91,Cloyster,Normal,True,Cloyster (Shadow),"[90, 91]","90,91&shadow"
92,Gastly,Normal,False,Gastly,[92],92&!shadow
92,Gastly,Normal,True,Gastly (Shadow),[92],92&shadow
93,Haunter,Normal,False,Haunter,"[92, 93]","92,93&!shadow"
93,Haunter,Normal,True,Haunter (Shadow),"[92, 93]","92,93&shadow"
94,Gengar,Normal,False,Gengar,"[92, 93, 94]","92,93,94&!shadow"
94,Gengar,Normal,True,Gengar (Shadow),"[92, 93, 94]","92,93,94&shadow"
95,Onix,Normal,False,Onix,[95],95&!shadow
95,Onix,Normal,True,Onix (Shadow),[95],95&shadow
96,Drowzee,Normal,False,Drowzee,[96],96&!shadow
96,Drowzee,Normal,True,Drowzee (Shadow),[96],96&shadow
97,Hypno,Normal,False,Hypno,"[96, 97]","96,97&!shadow"
97,Hypno,Normal,True,Hypno (Shadow),"[96, 97]","96,97&shadow"
98,Krabby,Normal,False,Krabby,[98],98&!shadow
98,Krabby,Normal,True,Krabby (Shadow),[98],98&shadow
99,Kingler,Normal,False,Kingler,"[98, 99]","98,99&!shadow"
99,Kingler,Normal,True,Kingler (Shadow),"[98, 99]","98,99&shadow"
100,Voltorb,Hisuian,False,Voltorb (Hisuian),[100],100&hisui&!shadow
100,Voltorb,Hisuian,True,Voltorb (Hisuian) (Shadow),[100],100&hisui&shadow
100,Voltorb,Normal,False,Voltorb,[100],100&!hisui&!shadow
100,Voltorb,Normal,True,Voltorb (Shadow),[100],100&!hisui&shadow
101,Electrode,Hisuian,False,Electrode (Hisuian),"[100, 101]","100,101&hisui&!shadow"
101,Electrode,Hisuian,True,Electrode (Hisuian) (Shadow),"[100, 101]","100,101&hisui&shadow"
101,Electrode,Normal,False,Electrode,"[100, 101]","100,101&!hisui&!shadow"
101,Electrode,Normal,True,Electrode (Shadow),"[100, 101]","100,101&!hisui&shadow"
102,Exeggcute,Normal,False,Exeggcute,[102],102&!shadow
102,Exeggcute,Normal,True,Exeggcute (Shadow),[102],102&shadow
103,Exeggutor,Alola,False,Exeggutor (Alolan),"[102, 103]","102,103&alola&!shadow"
103,Exeggutor,Alola,True,Exeggutor (Alolan) (Shadow),"[102, 103]","102,103&alola&shadow"
103,Exeggutor,Normal,False,Exeggutor,"[102, 103]","102,103&!alola&!shadow"
103,Exeggutor,Normal,True,Exeggutor (Shadow),"[102, 103]","102,103&!alola&shadow"
104,Cubone,Normal,False,Cubone,[104],104&!shadow
104,Cubone,Normal,True,Cubone (Shadow),[104],104&shadow
105,Marowak,Alola,False,Marowak (Alolan),"[104, 105]","104,105&alola&!shadow"
105,Marowak,Alola,True,Marowak (Alolan) (Shadow),"[104, 105]","104,105&alola&shadow"
105,Marowak,Normal,False,Marowak,"[104, 105]","104,105&!alola&!shadow"
105,Marowak,Normal,True,Marowak (Shadow),"[104, 105]","104,105&!alola&shadow"
106,Hitmonlee,Normal,False,Hitmonlee,"[106, 236]","106,236&!shadow"
106,Hitmonlee,Normal,True,Hitmonlee (Shadow),"[106, 236]","106,236&shadow"
107,Hitmonchan,Normal,False,Hitmonchan,"[107, 236]","107,236&!shadow"
107,Hitmonchan,Normal,True,Hitmonchan (Shadow),"[107, 236]","107,236&shadow"
108,Lickitung,Normal,False,Lickitung,[108],108&!shadow
108,Lickitung,Normal,True,Lickitung (Shadow),[108],108&shadow
109,Koffing,Normal,False,Koffing,[109],109&!shadow
109,Koffing,Normal,True,Koffing (Shadow),[109],109&shadow
110,Weezing,Galarian,False,Weezing (Galarian),"[109, 110]","109,110&galar&!shadow"
110,Weezing,Galarian,True,Weezing (Galarian) (Shadow),"[109, 110]","109,110&galar&shadow"
110,Weezing,Normal,False,Weezing,"[109, 110]","109,110&!galar&!shadow"
110,Weezing,Normal,True,Weezing (Shadow),"[109, 110]","109,110&!galar&shadow"
111,Rhyhorn,Normal,False,Rhyhorn,[111],111&!shadow
111,Rhyhorn,Normal,True,Rhyhorn (Shadow),[111],111&shadow
112,Rhydon,Normal,False,Rhydon,"[111, 112]","111,112&!shadow"
112,Rhydon,Normal,True,Rhydon (Shadow),"[111, 112]","111,112&shadow"
113,Chansey,Normal,False,Chansey,"[113, 440]","113,440&!shadow"
113,Chansey,Normal,True,Chansey (Shadow),"[113, 440]","113,440&shadow"
114,Tangela,Normal,False,Tangela,[114],114&!shadow
114,Tangela,Normal,True,Tangela (Shadow),[114],114&shadow
115,Kangaskhan,Normal,False,Kangaskhan,[115],115&!shadow
115,Kangaskhan,Normal,True,Kangaskhan (Shadow),[115],115&shadow
116,Horsea,Normal,False,Horsea,[116],116&!shadow
116,Horsea,Normal,True,Horsea (Shadow),[116],116&shadow
117,Seadra,Normal,False,Seadra,"[116, 117]","116,117&!shadow"
117,Seadra,Normal,True,Seadra (Shadow),"[116, 117]","116,117&shadow"
118,Goldeen,Normal,False,Goldeen,[118],118&!shadow
118,Goldeen,Normal,True,Goldeen (Shadow),[118],118&shadow
119,Seaking,Normal,False,Seaking,"[118, 119]","118,119&!shadow"
119,Seaking,Normal,True,Seaking (Shadow),"[118, 119]","118,119&shadow"
120,Staryu,Normal,False,Staryu,[120],120&!shadow
120,Staryu,Normal,True,Staryu (Shadow),[120],120&shadow
121,Starmie,Normal,False,Starmie,"[120, 121]","120,121&!shadow"
121,Starmie,Normal,True,Starmie (Shadow),"[120, 121]","120,121&shadow"
122,Mr. Mime,Galarian,False,Mr. Mime (Galarian),[122],122&galar&!shadow
122,Mr. Mime,Galarian,True,Mr. Mime (Galarian) (Shadow),[122],122&galar&shadow
122,Mr. Mime,Normal,False,Mr. Mime,"[122, 439]","122,439&!galar&!shadow"
122,Mr. Mime,Normal,True,Mr. Mime (Shadow),"[122, 439]","122,439&!galar&shadow"
123,Scyther,Normal,False,Scyther,[123],123&!shadow
123,Scyther,Normal,True,Scyther (Shadow),[123],123&shadow
124,Jynx,Normal,False,Jynx,"[124, 238]","124,238&!shadow"
124,Jynx,Normal,True,Jynx (Shadow),"[124, 238]","124,238&shadow"
125,Electabuzz,Normal,False,Electabuzz,"[125, 239]","125,239&!shadow"
125,Electabuzz,Normal,True,Electabuzz (Shadow),"[125, 239]","125,239&shadow"
126,Magmar,Normal,False,Magmar,"[126, 240]","126,240&!shadow"
126,Magmar,Normal,True,Magmar (Shadow),"[126, 240]","126,240&shadow"
127,Pinsir,Normal,False,Pinsir,[127],127&!shadow
127,Pinsir,Normal,True,Pinsir (Shadow),[127],127&shadow
128,Tauros,Normal,False,Tauros,[128],128&!shadow
128,Tauros,Normal,True,Tauros (Shadow),[128],128&shadow
128,Tauros,Paldea_aqua,False,Tauros (Aqua),[128],128&!shadow
128,Tauros,Paldea_aqua,True,Tauros (Aqua) (Shadow),[128],128&shadow
128,Tauros,Paldea_blaze,False,Tauros (Blaze),[128],128&!shadow
128,Tauros,Paldea_blaze,True,Tauros (Blaze) (Shadow),[128],128&shadow
128,Tauros,Paldea_combat,False,Tauros (Combat),[128],128&!shadow
128,Tauros,Paldea_combat,True,Tauros (Combat) (Shadow),[128],128&shadow
129,Magikarp,Normal,False,Magikarp,[129],129&!shadow
129,Magikarp,Normal,True,Magikarp (Shadow),[129],129&shadow
130,Gyarados,Normal,False,Gyarados,"[129, 130]","129,130&!shadow"
130,Gyarados,Normal,True,Gyarados (Shadow),"[129, 130]","129,130&shadow"
131,Lapras,Normal,False,Lapras,[131],131&!shadow
131,Lapras,Normal,True,Lapras (Shadow),[131],131&shadow
132,Ditto,Normal,False,Ditto,[132],132&!shadow
132,Ditto,Normal,True,Ditto (Shadow),[132],132&shadow
133,Eevee,Normal,False,Eevee,[133],133&!shadow
133,Eevee,Normal,True,Eevee (Shadow),[133],133&shadow
134,Vaporeon,Normal,False,Vaporeon,"[133, 134]","133,134&!shadow"
134,Vaporeon,Normal,True,Vaporeon (Shadow),"[133, 134]","133,134&shadow"
135,Jolteon,Normal,False,Jolteon,"[133, 135]","133,135&!shadow"
135,Jolteon,Normal,True,Jolteon (Shadow),"[133, 135]","133,135&shadow"
136,Flareon,Normal,False,Flareon,"[133, 136]","133,136&!shadow"
136,Flareon,Normal,True,Flareon (Shadow),"[133, 136]","133,136&shadow"
137,Porygon,Normal,False,Porygon,[137],137&!shadow
137,Porygon,Normal,True,Porygon (Shadow),[137],137&shadow
138,Omanyte,Normal,False,Omanyte,[138],138&!shadow
138,Omanyte,Normal,True,Omanyte (Shadow),[138],138&shadow
139,Omastar,Normal,False,Omastar,"[138, 139]","138,139&!shadow"
139,Omastar,Normal,True,Omastar (Shadow),"[138, 139]","138,139&shadow"
140,Kabuto,Normal,False,Kabuto,[140],140&!shadow
140,Kabuto,Normal,True,Kabuto (Shadow),[140],140&shadow
141,Kabutops,Normal,False,Kabutops,"[140, 141]","140,141&!shadow"
141,Kabutops,Normal,True,Kabutops (Shadow),"[140, 141]","140,141&shadow"
142,Aerodactyl,Normal,False,Aerodactyl,[142],142&!shadow
142,Aerodactyl,Normal,True,Aerodactyl (Shadow),[142],142&shadow
143,Snorlax,Normal,False,Snorlax,"[143, 446]","143,446&!shadow"
143,Snorlax,Normal,True,Snorlax (Shadow),"[143, 446]","143,446&shadow"
144,Articuno,Galarian,False,Articuno (Galarian),[144],144&galar&!shadow
144,Articuno,Galarian,True,Articuno (Galarian) (Shadow),[144],144&galar&shadow
144,Articuno,Normal,False,Articuno,[144],144&!galar&!shadow
144,Articuno,Normal,True,Articuno (Shadow),[144],144&!galar&shadow
145,Zapdos,Galarian,False,Zapdos (Galarian),[145],145&galar&!shadow
145,Zapdos,Galarian,True,Zapdos (Galarian) (Shadow),[145],145&galar&shadow
