Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Shelmet,78.9,616,bug,none,50.3,99.8,99,496726,24.5,500,Infestation,Body Slam,Bug Buzz,4,5,3,50000
Gligar (Shadow),78.7,207,ground,flying,63,83.7,75,394972,10,499,Wing Attack,Aerial Ace,Dig,6,7,5,75000
Ducklett (Shadow),78.5,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Bubble Beam,Brave Bird,7,7,3,50000
Igglybuff,78.5,174,normal,fairy,60.2,38.8,178,415972,47,500,Feint Attack,Body Slam*,Shadow Ball,7,9,1,10000
Amaura,78.3,698,rock,ice,64,62,98,388644,14,499,Powder Snow,Weather Ball (Ice),Ancient Power,5,6,5,75000
Drifloon,78.3,425,ghost,flying,64.7,50.8,117,384020,16,499,Hex,Icy Wind,Shadow Ball,4,4,5,75000
Barboach,78.1,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,4,1,10000
Frigibax,78,996,dragon,ice,72.4,51.7,92,344793,15,500,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Fletchling,77.9,661,normal,flying,65.4,62.2,93,378391,24,499,Quick Attack,Fly,Aerial Ace,6,6,1,10000
Vulpix (Shadow),77.8,37,fire,none,62.7,77.1,82,395963,22,498,Quick Attack,Weather Ball (Fire),Body Slam,5,5,3,50000
Rattata (Shadow),77.6,19,normal,none,74.3,59,77,337437,27,500,Quick Attack,Body Slam,Dig,5,7,1,10000
Onix (Shadow),77.5,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Rock Slide*,Breaking Swipe,9,10,5,75000
Chikorita,77.2,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Dratini,77.2,147,dragon,none,71.4,61.9,79,349253,19.5,499,Dragon Breath,Aqua Tail,Wrap,9,12,5,75000
Lechonk,77.2,915,normal,none,59,65.2,109,419635,27,499,Tackle,Body Slam,Dig,14,17,1,10000
Mareep (Shadow),77.1,179,electric,none,69.6,55.4,93,358948,19.5,500,Thunder Shock,Body Slam,Discharge,5,5,5,75000
Rhyhorn (Shadow),77,111,ground,rock,65.2,64.3,91,381947,11.5,499,Mud Slap,Horn Attack,Bulldoze,4,6,3,50000
Tirtouga,77,564,water,rock,66.5,77.6,73,376317,13,500,Water Gun,Surf,Body Slam,15,14,5,75000
Onix,76.9,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Rock Slide*,Sand Tomb,9,9,5,75000
Tepig,76.9,498,fire,none,67.4,55.5,99,370850,18,500,Ember,Body Slam,Flame Charge,5,6,3,10000
Vulpix,76.9,37,fire,none,62.7,77.1,82,395963,22,498,Quick Attack,Weather Ball (Fire),Body Slam,5,5,3,50000
Mareep,76.7,179,electric,none,69.6,55.4,93,358948,19.5,500,Thunder Shock,Body Slam,Discharge,5,5,5,75000
Skorupi (Shadow),76.6,451,poison,bug,57.2,96.2,79,434636,19.5,500,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Fuecoco,76.5,909,fire,none,63.9,60.6,100,387103,17,497,Incinerate,Crunch,Disarming Voice,3,3,3,10000
Jangmo-o,76.4,782,dragon,none,63.9,72.9,84,391339,20,500,Dragon Tail,Dragon Claw,Brick Break,5,4,5,75000
Spheal,76.4,363,ice,water,59.9,62.9,111,418070,20.5,500,Water Gun,Body Slam,Aurora Beam,14,20,3,50000
Gastly (Shadow),76.2,92,ghost,poison,98.8,42.4,60,251560,15,498,Astonish,Sludge Bomb,Dark Pulse,5,5,3,50000
Growlithe (Shadow),76.1,58,fire,none,73,55.9,83,338348,15,497,Ember,Body Slam,Flamethrower,5,7,3,50000
Purrloin,76,509,dark,none,68.8,59.4,89,363532,25.5,500,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Chikorita (Shadow),75.9,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Wailmer (Shadow),75.9,320,water,none,67.4,39.5,139,370240,13,500,Water Gun,Body Slam,Scald,14,17,1,10000
Cottonee,75.7,546,grass,fairy,54,89.2,96,462055,29,500,Charm,Grass Knot,Seed Bomb,7,5,1,10000
Snorunt (Shadow),75.7,361,ice,none,62,68.9,94,401875,22,500,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Litwick (Shadow),75.5,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Growlithe,75.4,58,fire,none,73,55.9,83,338348,15,497,Ember,Body Slam,Flamethrower,5,7,3,50000
Pidove,75.4,519,normal,flying,65.3,60.2,97,381720,23,500,Quick Attack,Aerial Ace,Heat Wave,6,6,1,10000
Sandshrew (Alolan) (Shadow),75.4,27,ice,steel,66.7,73,77,374923,15,500,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Swinub,75.4,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Icy Wind,Body Slam,6,5,3,50000
Golett,75.3,622,ground,ghost,70.5,57.2,88,354894,16,500,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Pidgey,75.3,16,normal,flying,64,62.6,97,388706,29,499,Quick Attack,Aerial Ace,Twister,6,5,1,10000
Rattata,75.2,19,normal,none,74.3,59,77,337437,27,500,Quick Attack,Body Slam,Dig,5,7,1,10000
Zigzagoon,75.2,263,normal,none,53.8,79.8,108,463656,50,500,Tackle,Dig,Grass Knot,17,17,1,10000
Ledyba,75,165,bug,flying,52.8,94.1,95,471970,28.5,500,Bug Bite,Aerial Ace,Silver Wind,15,15,1,10000
Tyrunt,75,696,rock,dragon,73.4,61.6,75,339177,11.5,499,Dragon Tail,Dragon Claw,Ancient Power,5,4,5,75000
Snorunt,74.9,361,ice,none,62,68.9,94,401875,22,500,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Munchlax,74.8,446,normal,none,59.6,55.8,126,418617,10,500,Tackle,Body Slam,Bulldoze,14,19,5,10000
Qwilfish (Hisuian),74.8,211,dark,poison,75.1,62.3,71,332446,9,500,Poison Jab,Aqua Tail,Dark Pulse,5,7,3,50000
Spheal (Shadow),74.8,363,ice,water,59.9,62.9,111,418070,20.5,500,Water Gun,Body Slam,Aurora Beam,14,20,3,50000
Carvanha (Shadow),74.7,318,water,dark,100.5,30.5,81,248018,18.5,499,Bite,Crunch,Poison Fang,12,10,3,50000
Wooloo,74.7,831,normal,none,57.3,78.5,97,435789,28,500,Tackle,Wild Charge,Stomp,15,14,3,10000
Cetoddle,74.6,974,ice,none,63.1,48.3,129,393243,14.5,498,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Skorupi,74.6,451,poison,bug,57.2,96.2,79,434636,19.5,500,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Swinub (Shadow),74.6,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Icy Wind,Body Slam,6,5,3,50000
Litleo,74.5,667,fire,normal,70.2,60.9,83,354604,13.5,500,Incinerate,Flame Charge,Crunch,3,3,3,10000
Mantyke,74.3,458,water,flying,57.3,101,75,434176,15.5,499,Bubble,Aerial Ace,Ice Beam,5,5,5,10000
Oshawott,74.3,501,water,none,69.1,56.7,91,356608,18,497,Water Gun,Aqua Tail,Night Slash,12,12,3,10000
Dwebble (Shadow),74,557,bug,rock,65.2,72.7,81,383745,16,500,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Litwick,73.8,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Flame Charge,Mystical Fire,5,5,5,75000
Bonsly,73.7,438,rock,none,65.6,74.8,77,377854,14.5,498,Counter,Rock Slide,Earthquake,8,11,5,10000
Binacle,73.6,688,rock,water,61.1,81.7,82,409003,20.5,500,Mud Slap,Ancient Power,Cross Chop,5,4,3,50000
Gible (Shadow),73.6,443,dragon,ground,71.5,53.1,92,349367,17.5,500,Mud Shot,Body Slam,Dig,5,6,5,75000
Swablu,73.6,333,normal,flying,52.9,94.6,94,470159,24.5,500,Astonish,Aerial Ace,Disarming Voice,5,5,1,10000
Glameow,73.5,431,normal,none,68.3,58.7,90,360870,20.5,498,Quick Attack,Aerial Ace,Thunderbolt,6,7,3,50000
Nosepass (Shadow),73.5,299,rock,none,51.4,136.2,69,482851,20,499,Rock Throw,Rock Slide,Thunderbolt,9,11,3,50000
Stunky,73.5,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Sludge Bomb,12,13,3,50000
Oddish (Shadow),73.4,43,grass,poison,71,65.7,75,350092,15.5,499,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Skrelp,73.4,690,poison,water,64,70.3,86,387069,18,498,Water Gun,Aqua Tail,Sludge Bomb,12,17,3,50000
Azurill,73.3,298,normal,fairy,42.9,72.3,127,393316,50,411,Bubble,Body Slam,Ice Beam,4,5,3,10000
Sandshrew (Alolan),73.3,27,ice,steel,66.7,73,77,374923,15,500,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Diglett (Alolan) (Shadow),73.2,50,ground,steel,79.9,67,58,310570,28.5,500,Mud Slap,Mud Bomb,Rock Tomb,5,5,3,50000
Grimer (Alolan),73.1,88,poison,dark,69.5,50.5,102,357792,14,499,Bite,Crunch,Sludge Bomb,12,13,3,50000
Lileep,73.1,345,rock,grass,56.4,84.3,93,442323,15,499,Bullet Seed,Ancient Power,Grass Knot,4,4,3,50000
Glameow (Shadow),73,431,normal,none,68.3,58.7,90,360870,20.5,498,Quick Attack,Aerial Ace,Thunderbolt,6,7,3,50000
Shellos,73,422,water,none,59.5,65,109,421414,17,500,Mud Slap,Body Slam,Mud Bomb,4,5,3,50000
Nincada,72.9,290,bug,ground,57.2,94,81,435660,26,499,Bug Bite,Night Slash,Aerial Ace,12,15,5,75000
Squirtle,72.6,7,water,none,60,81.4,85,415167,21,499,Bubble,Aqua Tail,Aqua Jet,4,4,3,10000
Turtwig (Shadow),72.6,387,grass,none,65.7,66.8,86,377548,16,498,Razor Leaf,Body Slam,Energy Ball,10,12,3,10000
Darumaka,72.5,554,fire,none,75.6,48.2,90,327845,13,498,Fire Fang,Fire Punch,Flame Charge,7,9,3,50000
Skwovet,72.5,819,normal,none,59.9,61.1,113,413326,20.5,497,Bullet Seed,Body Slam,Crunch,4,4,1,10000
Sandygast,72.4,769,ghost,ground,65.7,68.9,84,380485,15.5,500,Mud Shot,Scorching Sands,Shadow Ball,6,6,3,50000
Bounsweet,72.3,761,grass,none,55.3,70.4,115,447513,49.5,498,Razor Leaf,Energy Ball,Draining Kiss,12,14,3,10000
Hoothoot,72.3,163,normal,flying,52.2,74.2,124,480032,30.5,500,Feint Attack,Sky Attack,Night Shade,9,8,1,10000
Meowth (Alolan),72.3,52,dark,none,68.1,60.8,88,364585,24.5,500,Bite,Night Slash,Trailblaze,9,12,3,50000
Budew,72.2,406,grass,poison,60.9,78.2,86,409098,23,500,Razor Leaf,Grass Knot,Energy Ball,13,12,3,10000
Karrablast,72.1,588,bug,none,75.3,54.5,80,328525,16,499,Fury Cutter,X-Scissor,Drill Run,10,10,3,50000
Nosepass,72.1,299,rock,none,50.8,137.9,70,490422,20.5,499,Rock Throw,Rock Slide,Thunderbolt,9,11,3,50000
Psyduck,72.1,54,water,none,70.5,60.6,83,354533,17,500,Water Gun,Aqua Tail,Cross Chop,12,12,3,50000
Seedot,72.1,273,grass,none,58.2,71.4,103,428038,37.5,499,Quick Attack,Grass Knot,Foul Play,7,5,3,50000
Gible,72,443,dragon,ground,71.5,53.1,92,349367,17.5,500,Mud Shot,Body Slam,Dig,5,6,5,75000
Phantump,72,708,ghost,grass,71.1,65,76,350963,17,499,Astonish,Shadow Ball,Foul Play,5,4,5,75000
Chimchar (Shadow),71.9,390,fire,none,69.9,60.3,84,354256,20,498,Ember,Flame Charge,Flamethrower,6,7,3,10000
Meowth (Shadow),71.9,52,normal,none,65.4,63.3,91,376964,26,499,Scratch,Body Slam*,Night Slash,10,9,3,50000
Poochyena,71.9,261,dark,none,71.9,54.7,88,346127,29,500,Snarl,Crunch,Dig,4,4,1,10000
Spritzee,71.9,682,fairy,none,60,66.8,104,416503,15.5,500,Charm,Thunderbolt,Draining Kiss,7,7,3,50000
Tadbulb,71.8,938,electric,none,66.7,53.9,104,373825,21,499,Thunder Shock,Discharge,Zap Cannon,5,9,1,50000
Croagunk,71.7,453,poison,fighting,72.3,53.8,89,345898,20,500,Poison Jab,Brick Break,Sludge Bomb,6,8,3,50000
Finneon,71.7,456,water,none,59.7,78.3,89,416094,20,498,Water Gun,Ice Beam,Silver Wind,19,15,3,50000
Geodude (Alolan),71.7,74,rock,electric,69.3,76.1,68,358570,15,499,Volt Switch,Rock Slide,Thunderbolt,3,4,1,10000
Piplup,71.7,393,water,none,65.7,65.2,88,377076,18,500,Bubble,Drill Peck,Icy Wind,4,5,3,10000
Sandshrew (Shadow),71.7,27,ground,none,68.3,68.8,78,366575,15,500,Mud Shot,Rock Slide,Dig,5,6,3,50000
Psyduck (Shadow),71.6,54,water,none,70.5,60.6,83,354533,17,500,Water Gun,Aqua Tail,Cross Chop,12,12,3,50000
Duskull,71.5,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Shadow Sneak,Return<sup>†</sup>,5,7,3,50000
Nidoran Female (Shadow),71.5,29,poison,none,59.6,67.4,104,417490,24,500,Poison Sting,Body Slam,Poison Fang,5,5,3,50000
Foongus,71.4,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Body Slam,Grass Knot,4,5,3,50000
Spearow,71.4,21,normal,flying,76.6,49.1,87,326964,24,500,Quick Attack,Drill Peck,Aerial Ace,5,6,1,10000
Shieldon,71.3,410,rock,steel,50.7,132.4,73,490069,22.5,500,Tackle,Ancient Power,Heavy Slam,15,17,5,75000
Venonat (Shadow),71.3,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Poison Fang,Signal Beam,14,19,3,50000
Chespin,71.2,650,grass,none,64.3,66.5,91,388908,17.5,500,Vine Whip,Body Slam,Seed Bomb,5,5,3,10000
Machop (Shadow),71.2,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Rufflet,71.2,627,normal,flying,73.7,52.9,87,339128,12.5,500,Wing Attack,Brave Bird,Fly,7,6,5,75000
Chinchou,71.1,170,water,electric,61.5,60.9,108,404393,17.5,500,Spark,Thunderbolt,Bubble Beam,8,8,3,50000
Dewpider,71.1,751,water,bug,54.2,93.4,91,460799,28.5,500,Bug Bite,Bubble Beam,Water Pulse,17,17,3,50000
Numel (Shadow),71,322,fire,ground,70.3,53.3,95,355683,18,500,Ember,Stomp,Bulldoze,5,7,3,50000
Seedot (Shadow),71,273,grass,none,58.2,71.4,103,428038,37.5,499,Quick Attack,Grass Knot,Foul Play,7,5,3,50000
Zubat (Shadow),71,41,poison,flying,63.1,63.9,97,390966,29.5,499,Quick Attack,Poison Fang,Sludge Bomb*,5,7,1,10000
Diglett (Alolan),70.9,50,ground,steel,79.9,67,58,310570,28.5,500,Mud Slap,Mud Bomb,Rock Tomb,5,5,3,50000
Popplio,70.9,728,water,none,68.3,65,82,363994,17,500,Water Gun,Aqua Tail,Aqua Jet,12,14,3,10000
Squirtle (Shadow),70.9,7,water,none,60,81.4,85,415167,21,499,Bubble,Aqua Tail,Aqua Jet,4,4,3,10000
Dwebble,70.8,557,bug,rock,64.1,74.8,81,388555,16,499,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Foongus (Shadow),70.8,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Body Slam,Grass Knot,4,5,3,50000
Bidoof,70.7,399,normal,none,58.8,61.6,116,420813,27.5,499,Tackle,Superpower*,Crunch,14,15,1,10000
Bidoof (Shadow),70.7,399,normal,none,58.8,61.6,116,420813,27.5,499,Tackle,Superpower*,Crunch,14,15,1,10000
Charmander (Shadow),70.7,4,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Flame Charge,Flamethrower,6,7,3,10000
Croagunk (Shadow),70.7,453,poison,fighting,72.3,53.8,89,345898,20,500,Poison Jab,Brick Break,Sludge Bomb,6,8,3,50000
Cyndaquil (Shadow),70.7,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Flame Charge,Flamethrower,6,7,3,10000
Poliwag (Shadow),70.7,60,water,none,68,61.5,87,363932,23.5,498,Bubble,Body Slam,Mud Bomb,4,5,3,50000
Nidoran Female,70.5,29,poison,none,59.6,67.4,104,417490,24,500,Poison Sting,Body Slam,Poison Fang,5,5,3,50000
Clamperl,70.4,366,water,none,70.9,77.6,64,352074,15,500,Water Gun,Body Slam,Ice Beam,14,19,3,50000
Fomantis,70.3,753,grass,none,71.5,53.6,91,349099,26.5,500,Leafage,Leaf Blade,Grass Knot,5,7,3,50000
Houndour (Shadow),70.3,228,dark,fire,82,49.4,75,304222,15.5,500,Ember,Crunch,Flamethrower,5,7,3,50000
Shieldon (Shadow),70.3,410,rock,steel,50.7,132.4,73,490069,22.5,500,Tackle,Ancient Power,Heavy Slam,15,17,5,75000
Growlithe (Hisuian),70.2,58,fire,rock,74.3,52.4,86,334669,14.5,499,Ember,Rock Slide,Crunch,5,5,3,50000
Joltik (Shadow),70.2,595,bug,electric,66.4,65.8,86,375616,19,499,Sucker Punch,Cross Poison,Discharge,5,6,3,50000
Klink,70.2,599,steel,none,61.7,81.7,80,402978,20.5,499,Volt Switch,Discharge,Vise Grip,3,3,5,75000
Panpour,70.2,515,water,none,65.1,65.1,90,381615,20,499,Water Gun,Surf,Crunch,15,15,3,50000
Venonat,70.2,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Poison Fang,Signal Beam,14,19,3,50000
Piplup (Shadow),70.1,393,water,none,65.7,65.2,88,377076,18,500,Bubble,Drill Peck,Icy Wind,4,5,3,10000
Teddiursa (Shadow),70.1,216,normal,none,74,54,84,335474,14,499,Lick,Cross Chop,Crunch,12,15,3,50000
Machop,70,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Scyther (Shadow),69.9,123,bug,flying,77.5,64.6,64,320542,7,500,Fury Cutter,X-Scissor,Aerial Ace,10,12,5,75000
Torchic (Shadow),69.9,255,fire,none,75.4,57,77,331120,17.5,500,Ember,Flame Charge,Rock Tomb,6,6,3,10000
Grimer (Shadow),69.8,88,poison,none,69.5,50.5,102,357792,14,499,Poison Jab,Mud Bomb,Sludge Bomb,7,8,3,50000
Zubat,69.8,41,poison,flying,63.1,63.9,97,390966,29.5,499,Quick Attack,Poison Fang,Sludge Bomb*,5,7,1,10000
Rhyhorn,69.7,111,ground,rock,65.2,64.3,91,381947,11.5,499,Mud Slap,Horn Attack,Bulldoze,4,6,3,50000
Scraggy,69.6,559,dark,fighting,68,72.5,74,364613,14,499,Feint Attack,Foul Play,Brick Break,7,7,3,50000
Starly,69.6,396,normal,flying,73.6,49.7,93,340252,27.5,500,Quick Attack,Brave Bird,Fly,7,6,1,10000
Grimer (Alolan) (Shadow),69.5,88,poison,dark,69.5,50.5,102,357792,14,499,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Geodude (Alolan) (Shadow),69.4,74,rock,electric,69.7,74.8,68,354383,14.5,499,Volt Switch,Rock Slide,Thunderbolt,3,4,1,10000
Geodude (Shadow),69.4,74,rock,ground,69.7,74.8,68,354383,14.5,499,Rock Throw,Rock Slide,Dig,9,10,1,10000
Magnemite (Shadow),69.4,81,electric,steel,84.4,66.3,53,296515,13.5,500,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Turtwig,69.2,387,grass,none,65.7,66.8,86,377548,16,498,Razor Leaf,Body Slam,Energy Ball,10,12,3,10000
Yanma,69.1,193,bug,flying,76.1,52.5,82,327660,13,500,Wing Attack,Aerial Ace,Silver Wind,6,6,3,50000
Carvanha,69,318,water,dark,100.5,30.5,81,248018,18.5,499,Bite,Crunch,Poison Fang,12,10,3,50000
Magnemite,69,81,electric,steel,84.4,66.3,53,296515,13.5,500,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Salandit,68.7,757,poison,fire,77.1,51.8,81,323383,17,500,Poison Jab,Poison Fang,Flamethrower,6,8,3,50000
Sewaddle,68.7,540,bug,grass,59.7,81.8,85,415595,20,499,Bug Bite,Silver Wind,Energy Ball,15,15,1,10000
Grimer,68.6,88,poison,none,68.5,52.5,101,363016,14,500,Poison Jab,Mud Bomb,Sludge Bomb,7,8,3,50000
Mudkip (Shadow),68.6,258,water,none,71.6,58.4,83,346979,17,500,Water Gun,Dig,Stomp,17,14,3,10000
Buneary,68.5,427,normal,none,69.8,61.6,83,356945,15,500,Quick Attack,Fire Punch,Swift,5,5,3,50000
Lotad,68.5,270,water,grass,58.2,71.4,103,428038,37.5,499,Water Gun,Scald,Energy Ball,17,15,3,50000
Poliwag,68.5,60,water,none,68,61.5,87,363932,23.5,498,Bubble,Body Slam,Mud Bomb,4,5,3,50000
Slugma,68.5,218,fire,none,75.6,53.3,82,330081,21.5,500,Ember,Rock Slide,Flame Charge,5,6,1,10000
Spinarak,68.5,167,bug,poison,71.3,56.3,87,349284,24,499,Poison Sting,Cross Poison,Night Slash,4,4,1,10000
Ferroseed,68.4,597,grass,steel,52.6,104.1,86,471164,21,498,Tackle,Iron Head,Flash Cannon,17,22,3,75000
Numel,68.4,322,fire,ground,70.3,53.3,95,355683,18,500,Ember,Stomp,Bulldoze,5,7,3,50000
Pichu,68.4,172,electric,none,71.4,57.1,84,342828,50,494,Thunder Shock,Thunder Punch,Disarming Voice,5,5,1,10000
Misdreavus (Shadow),68.3,200,ghost,none,72.2,68.4,70,346149,10,500,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Taillow,68.3,276,normal,flying,73.5,51.3,90,339275,25.5,500,Quick Attack,Aerial Ace,,6,0,1,10000
Lileep (Shadow),68.2,345,rock,grass,56.4,84.3,93,442323,15,499,Infestation,Ancient Power,Grass Knot,4,5,3,50000
Shroomish,68.2,285,grass,none,52.2,82.7,111,479238,24.5,500,Bullet Seed,Grass Knot,Seed Bomb,4,4,3,50000
Aron,68.1,304,steel,rock,63.6,79.4,77,388554,14.5,498,Tackle,Body Slam,Iron Head,14,17,1,10000
Oddish,68.1,43,grass,poison,71.1,67.9,73,352076,16,500,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Sandshrew,68.1,27,ground,none,67.8,69.8,78,369269,15,500,Mud Shot,Rock Slide,Dig,5,6,3,50000
Drilbur (Shadow),68,529,ground,none,78.5,48.6,83,316768,13.5,500,Mud Slap,Drill Run,Rock Tomb,4,5,3,50000
Duskull (Shadow),68,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Shadow Sneak,Ominous Wind,5,5,3,50000
Hoppip,68,187,grass,flying,55.3,83.3,98,451719,38,500,Bullet Seed,Grass Knot,Seed Bomb,4,4,3,50000
Rattata (Alolan),68,19,dark,normal,74.3,59,77,337437,27,500,Quick Attack,Crunch,Hyper Fang,6,7,1,10000
Quaxly,67.9,912,water,none,70.3,56.1,90,354886,18,499,Wing Attack,Liquidation,Aerial Ace,6,6,3,10000
Yamask,67.9,562,ghost,none,59.1,91.4,78,421650,20,500,Astonish,Shadow Ball,Dark Pulse,5,5,3,50000
Aron (Shadow),67.8,304,steel,rock,63.6,79.4,77,388554,14.5,498,Tackle,Body Slam,Iron Head,14,17,1,10000
Chimchar,67.7,390,fire,none,69.9,60.3,84,354256,20,498,Ember,Flame Charge,Flamethrower,6,7,3,10000
Pansear,67.7,513,fire,none,65.1,65.1,90,381615,20,499,Fire Spin,Flame Charge,Crunch,5,5,3,50000
Elekid,67.6,239,electric,none,74.2,60.5,75,336399,15.5,500,Thunder Shock,Thunder Punch,Brick Break,5,5,5,10000
